"","sector_economico_4","n()","sum(as.numeric(asegurados))","sum(as.numeric(no_trabajadores))","descriptores_subsector4","periodo"
"1","4101",55289,311737,0,"Edificación (excepto obra pública)","2020-10-31"
"2","4102",147959,900865,0,"Infraestructura y obra pública","2020-10-31"
"3","4201",47536,190067,0,"Instalaciones sanitarias","2020-10-31"
"4","4202",5294,11646,0,"Ascensores y transporte","2020-10-31"
"5","4203",15803,45918,0,"Herrería","2020-10-31"
"6","4204",29415,108715,0,"Otros","2020-10-31"
"7","4101",56222,315608,0,"Edificación (excepto obra pública)","2020-11-30"
"8","4102",148875,904588,0,"Infraestructura y obra pública","2020-11-30"
"9","4201",47944,189653,0,"Instalaciones sanitarias","2020-11-30"
"10","4202",5378,11687,0,"Ascensores y transporte","2020-11-30"
"11","4203",15833,45962,0,"Herrería","2020-11-30"
"12","4204",29833,109604,0,"Otros","2020-11-30"
"13","4101",55308,294701,0,"Edificación (excepto obra pública)","2020-12-31"
"14","4102",144934,846013,0,"Infraestructura y obra pública","2020-12-31"
"15","4201",47570,185779,0,"Instalaciones sanitarias","2020-12-31"
"16","4202",5313,11578,0,"Ascensores y transporte","2020-12-31"
"17","4203",15584,44364,0,"Herrería","2020-12-31"
"18","4204",29470,105128,0,"Otros","2020-12-31"
"19","4101",55255,302306,0,"Edificación (excepto obra pública)","2021-01-31"
"20","4102",144784,860097,0,"Infraestructura y obra pública","2021-01-31"
"21","4201",47550,186658,0,"Instalaciones sanitarias","2021-01-31"
"22","4202",5304,11657,0,"Ascensores y transporte","2021-01-31"
"23","4203",15693,44347,0,"Herrería","2021-01-31"
"24","4204",29790,106481,0,"Otros","2021-01-31"
"25","4101",54559,303897,0,"Edificación (excepto obra pública)","2021-02-28"
"26","4102",142284,870493,0,"Infraestructura y obra pública","2021-02-28"
"27","4201",46924,186764,0,"Instalaciones sanitarias","2021-02-28"
"28","4202",5234,11652,0,"Ascensores y transporte","2021-02-28"
"29","4203",15516,44206,0,"Herrería","2021-02-28"
"30","4204",29024,107159,0,"Otros","2021-02-28"
"31","4101",55135,299471,0,"Edificación (excepto obra pública)","2021-03-31"
"32","4102",142605,874031,0,"Infraestructura y obra pública","2021-03-31"
"33","4201",47010,188127,0,"Instalaciones sanitarias","2021-03-31"
"34","4202",5182,11320,0,"Ascensores y transporte","2021-03-31"
